,locAbsJitter,std_delta_delta_log_energy,Ed2_1_coef,Ed2_2_coef,tqwt_energy_dec_28,tqwt_energy_dec_34,tqwt_TKEO_mean_dec_1,tqwt_TKEO_mean_dec_13,tqwt_TKEO_std_dec_1,tqwt_medianValue_dec_1,tqwt_medianValue_dec_2,tqwt_medianValue_dec_3,tqwt_medianValue_dec_4,tqwt_medianValue_dec_11,tqwt_meanValue_dec_1,tqwt_meanValue_dec_2,tqwt_meanValue_dec_3,tqwt_meanValue_dec_4,tqwt_meanValue_dec_5,tqwt_meanValue_dec_6,tqwt_meanValue_dec_7,tqwt_meanValue_dec_8,tqwt_meanValue_dec_9,tqwt_meanValue_dec_10,class
0,1.76e-05,0.016392,6.59e-09,3.86e-08,0.032743,1.67e-06,1.61e-07,0.00012787,9.97e-07,8.19e-07,2.37e-07,5.77e-20,2.84e-07,-3.1e-05,-2.89e-21,-3.77e-21,1.7e-22,-9.18e-22,-3.98e-22,-2.86e-21,-3.52e-22,1.06e-21,1.23e-20,-1.36e-20,1.0
1,1.61e-05,0.014222,7.3e-09,5.39e-08,0.040744,2.73e-06,3.05e-07,9.84e-05,2.39e-05,2.14e-07,-1.87e-07,4.33e-20,4.08e-07,2.11e-05,-1.77e-21,5.66e-21,-1.19e-21,1.85e-20,0.0,3.08e-21,-1.2e-20,2.01e-20,2.03e-20,3.71e-20,1.0
2,1.47e-05,0.039709,5.13e-09,4.13e-08,0.04925,6.07e-06,1.79e-07,4.52e-05,7.16e-07,5.34e-07,-4.23e-07,-8.5e-20,-2.93e-07,1.72e-05,9.44e-22,-5.04e-22,-3.29e-22,-1.47e-21,2.6e-22,3.1e-21,-9.07e-21,-2.91e-22,-1.05e-21,9.08e-21,1.0
3,4.55e-05,0.01556,0.00024751,0.00058569,0.0058923,6.9e-05,2.58e-06,0.002862,6.37e-05,3.97e-06,5.7e-08,3.45e-06,3.58e-06,-4.33e-05,-4.48e-21,1.21e-20,-1.12e-20,-5.4e-21,-7.1e-21,-1.41e-20,-8.81e-21,2.49e-20,2.94e-20,1.22e-21,1.0
4,4.37e-05,0.011037,0.00026864,0.00038794,0.0028981,4.06e-05,2.44e-06,0.002707,1.35e-05,-3.08e-06,-1.17e-06,-2.73e-06,-6.3e-07,-5.69e-06,-1.8e-21,5.24e-21,-2.46e-21,-2.7e-21,5.72e-21,3.67e-21,2.64e-22,-1.03e-20,-1.17e-20,-1.83e-21,1.0
5,5.97e-05,0.022028,0.0006198,0.00093155,0.004757,9.21e-05,2.2e-06,0.0028129,4.62e-05,-9.72e-07,-2.45e-06,3.98e-06,-2.57e-07,-3.52e-05,-7.43e-21,-5.45e-21,1e-20,-1.21e-20,1.31e-20,-2.7e-20,3.52e-22,-1.99e-20,-1.32e-20,3.04e-21,1.0
6,1.33e-05,0.0089708,2.03e-08,2.85e-07,0.00027829,4.37e-05,4.62e-06,0.013648,3.74e-05,2.03e-06,-5.97e-07,-3.25e-06,6.8e-06,5.64e-05,-1.22e-20,6.23e-21,8.5e-22,7.34e-21,-3.55e-21,-1.75e-20,-3.74e-20,-2.22e-20,1.37e-19,-3.96e-20,1.0
7,1.71e-05,0.0098013,1.87e-08,2.12e-07,0.00064838,0.00016346,5.65e-06,0.0093177,1.85e-05,-2.14e-06,-2.66e-06,8.59e-08,1.86e-06,0.00013073,4.13e-22,-4.53e-21,-1.91e-21,1.33e-21,6.91e-21,-1.39e-21,1.18e-20,2.69e-20,1.01e-21,1.95e-20,1.0
8,9.73e-06,0.008344,1.22e-08,1.32e-07,0.00023544,3.68e-05,1.81e-06,0.007421,5.87e-06,-3.22e-06,-1.14e-07,-5.85e-07,3.14e-06,0.00044083,-2.57e-21,1.42e-21,1.14e-21,2.29e-22,-8.38e-21,-9.21e-21,-2.84e-20,-4.61e-20,2.79e-20,-2.88e-20,1.0
9,2.93e-06,0.017692,1.49e-08,6.97e-08,7.9e-05,1.02e-06,4.37e-07,0.019,9.17e-06,6.18e-07,-2.09e-06,1.94e-19,-1.59e-06,2.29e-06,-1.1e-20,-1.77e-21,2.04e-21,-3.01e-21,-6.12e-22,-2.94e-21,-3.39e-20,-2.2e-20,3.3e-21,8.22e-21,1.0
